0001.wav|Please put the book on the table near the window.
0002.wav|The cat sat on the mat and looked at three birds.
0003.wav|She saw the judge make a decision about the garage.
0004.wav|Bonsai trees are pleasured treasure.
0005.wav|Black brick houses
0006.wav|He thought about the weather while washing dishes.
0007.wav|This is a good example of proper speech.
0008.wav|Young children sing songs in the garden.
0009.wav|Red roses grow near the ocean shore.
0010.wav|Which way should we go to find food and water?
0011.wav|The phone rang during the large car show.
0012.wav|My uncle enjoys music and art very much.
0013.wav|A teacher showed the picture to the whole class.
0014.wav|We need help to survive in difficult times.
0015.wav|I tried to buy a toy for the boy.
0016.wav|The cow found a house down the road.
0017.wav|They say it may rain today.
